OID_,OBJECTID_1,Value,Count,Area
1,1,1,58,52200
2,1,5,411,369900
3,1,6,80,72000
4,1,14,7,6300
5,2,5,46,41400
6,2,6,53,47700
7,2,8,10,9000
8,2,10,16,14400
9,2,15,396,356400
10,2,16,14,12600
11,2,17,21,18900
12,3,5,265,238500
13,3,6,259,233100
14,3,8,14,12600
15,3,17,4,3600
16,3,18,16,14400
17,4,1,6,5400
18,4,5,323,290700
19,4,6,52,46800
20,4,8,136,122400
21,4,14,35,31500
22,5,1,7,6300
23,5,5,124,111600
24,5,6,118,106200
25,5,8,24,21600
26,5,10,35,31500
27,5,15,123,110700
28,5,17,126,113400
29,6,5,106,95400
30,6,6,438,394200
31,6,18,15,13500
32,7,1,209,188100
33,7,5,207,186300
34,7,6,15,13500
35,7,14,11,9900
36,7,15,107,96300
37,7,17,8,7200
38,8,1,14,12600
39,8,5,282,253800
40,8,6,224,201600
41,8,8,12,10800
42,8,14,7,6300
43,8,18,16,14400
44,9,5,89,80100
45,9,6,15,13500
46,9,15,453,407700
47,10,1,273,245700
48,10,5,226,203400
49,10,6,39,35100
50,10,14,8,7200
51,10,15,12,10800
52,11,5,28,25200
53,11,6,31,27900
54,11,14,88,79200
55,11,15,218,196200
56,11,17,43,38700
57,11,18,149,134100
58,12,1,1,900
59,12,5,266,239400
60,12,6,274,246600
61,12,14,14,12600
62,13,15,494,444600
63,13,17,31,27900
64,13,18,25,22500
65,14,1,2,1800
66,14,5,102,91800
67,14,6,265,238500
68,14,17,99,89100
69,14,18,90,81000
70,15,5,97,87300
71,15,6,3,2700
72,15,15,456,410400
73,16,5,524,471600
74,16,6,23,20700
75,16,8,3,2700
76,17,8,2,1800
77,17,10,45,40500
78,17,16,252,226800
79,17,17,260,234000
80,18,1,140,126000
81,18,5,44,39600
82,18,6,14,12600
83,18,8,48,43200
84,18,14,312,280800
85,19,5,386,347400
86,19,6,174,156600
87,20,1,67,60300
88,20,5,142,127800
89,20,6,220,198000
90,20,10,2,1800
91,20,15,63,56700
92,20,16,19,17100
93,20,17,43,38700
94,21,1,71,63900
95,21,5,238,214200
96,21,6,166,149400
97,21,14,14,12600
98,21,15,70,63000
99,22,1,37,33300
100,22,5,448,403200
101,22,6,55,49500
102,22,14,10,9000
103,23,5,72,64800
104,23,15,433,389700
105,23,17,47,42300
106,24,5,157,141300
107,24,6,398,358200
108,25,1,2,1800
109,25,5,58,52200
110,25,6,307,276300
111,25,8,29,26100
112,25,14,97,87300
113,25,18,60,54000
114,26,5,200,180000
115,26,6,118,106200
116,26,8,16,14400
117,26,10,6,5400
118,26,15,205,184500
119,26,16,9,8100
120,27,1,12,10800
121,27,5,102,91800
